business_id,name,address,city,state,restaurant_rating,review_count,categories
l09JfMeQ6ynYs5MCJtrcmQ,"""Alize Catering""","""2459 Yonge St""",Toronto,ON,3.0,12,Italian;French;Restaurants
lHYiCS-y8AFjUitv6MGpxg,"""Starbucks""","""85 Hanna Avenue""",Toronto,ON,4.0,21,Food;Coffee & Tea
VSGcuYDV3q-AAZ9ZPq4fBQ,"""Sportster's""","""1430 Danforth Avenue""",Toronto,ON,2.5,7,Bars;Sports Bars;Nightlife
1K4qrnfyzKzGgJPBEcJaNQ,"""Chula Taberna Mexicana""","""1058 Gerrard Street E""",Toronto,ON,3.5,39,Tiki Bars;Nightlife;Mexican;Restaurants;Bars
AtdXq_gu9NTE5rx4ct_dGg,"""DAVIDsTEA""","""10 Dundas Street E""",Toronto,ON,4.0,6,Coffee & Tea;Food;Tea Rooms
nbhBRhZtdaZmMMeb2i02pg,"""Sunnyside Grill""","""2777 Steeles Avenue W""",Toronto,ON,5.0,3,Restaurants;Breakfast & Brunch
FXHfcFVEfI1vVngW2gVOpw,"""Bampot House of Tea & Board Games""","""201 Harbord Street""",Toronto,ON,4.0,55,Coffee & Tea;Restaurants;Food;Mediterranean;Tea Rooms
VXH7zXcZzXlmAVN8GSjGRQ,"""Thai Express""","""4700 Keele Street""",Toronto,ON,3.0,5,Imported Food;Specialty Food;Thai;Ethnic Food;Food;Restaurants
dTWfATVrBfKj7Vdn0qWVWg,"""Flavor Cuisine""","""8 Glen Watford Drive""",Toronto,ON,3.0,6,Restaurants;Chinese;Food Court
1nhf9BPXOBFBkbRkpsFaxA,"""Mirage Grill & Lounge""","""117 Eglinton Avenue E""",Toronto,ON,2.0,6,Breakfast & Brunch;Food;Coffee & Tea;Canadian (New);Restaurants
sJ0MYSAIVK28cMzh-s-NPA,"""Amaya Express""","""Eaton Centre, 220 Yonge St""",Toronto,ON,2.5,34,Indian;Restaurants;Fast Food
JmKgz6n7zn24F-WkgT-kiA,"""Maki My Way""","""7 King Street E""",Toronto,ON,4.5,7,Restaurants;Sushi Bars;Japanese;Asian Fusion
t8yi2l7pZF43Rlf9_lHdDA,"""Hero Certified Burgers - King & Yonge""","""79A Yonge Street""",Toronto,ON,2.5,29,Burgers;Restaurants
2eU7ltXoQ2U7SyLhuY9Vxw,"""Fueled Espresso and Freshbar""","""739 Ossington Avenue""",Toronto,ON,3.5,9,Juice Bars & Smoothies;Food
Rh2smrKvcamnP8VBUgMI0Q,"""Dim Sum King Seafood Restaurant""","""421 Dundas St W, 3rd Fl""",Toronto,ON,3.5,165,Chinese;Restaurants;Dim Sum
O_UC_izJXcAmkm6HlEyGSA,"""Playa Cabana""","""111 Dupont Street""",Toronto,ON,4.0,363,Mexican;Restaurants;Nightlife;Bars
ww_MXl-qDLeYdYTZZ9KWbA,"""Pho Linh""","""1156 College Street W""",Toronto,ON,4.0,162,Vietnamese;Restaurants
I5T7rAAENTTMHJtjGqB2-w,"""Rovers Pub""","""570 Bloor St W""",Toronto,ON,3.5,8,Pubs;Nightlife;Bars
bviMnO3CdmFE1btUGlXc-w,"""Green Post""","""221 Augusta Avenue""",Toronto,ON,4.0,4,Food;Specialty Food;Health Markets
fUOY7g6JcO0m3iZNfK0O0g,"""Injapan""","""124 Atlantic Avenue""",Toronto,ON,3.0,32,Restaurants;Japanese;Sushi Bars
9xq1pZfhkr8frt5O_EUW0w,"""The Drake Underground""","""1150 Queen St W""",Toronto,ON,4.0,27,Dance Clubs;Arts & Entertainment;Music Venues;Nightlife;Lounges;Bars
PmDhZiyiHI6O3RJXXojJcA,"""Pizza Pizza""","""Lebovic""",Toronto,ON,2.0,4,Pizza;Restaurants
MIBi66jl0rSVJsanYziDQw,"""Yogurty's""","""1703 Avenue Road""",Toronto,ON,4.0,3,Ice Cream & Frozen Yogurt;Food
3N5bwNdig7uRddd3kozENA,"""Popeyes Louisiana Kitchen""","""589 Yonge Street""",Toronto,ON,2.5,17,Chicken Wings;Fast Food;Restaurants
ZBSha-zoPLias7wCQ0ZyVw,"""Gamberoni Restaurant""","""3238 Yonge Street""",Toronto,ON,3.0,18,Restaurants;Italian
DkBer3JjUGfKEsZCLtfgvA,"""Crave Healthy Habits""","""TD Centre Food Hall, 100 Wellington Street W""",Toronto,ON,4.0,11,Salad;Restaurants;Vegetarian;Gluten-Free
yHCoJZh5nx0Onr5xgMaUHg,"""Galleria Supermarket""","""865 York Mills Road""",Toronto,ON,4.0,92,Grocery;International Grocery;Food;Korean;Ethical Grocery;Restaurants
GlKEm1HSox2sQeOjcvXrYw,"""Caldense & Bakery""","""337 Symington Avenue""",Toronto,ON,3.0,13,Food;Coffee & Tea;Bakeries;Desserts
KENynjpbyq33DjGWXOip2Q,"""Pizza Nova""","""3928 Keele Street""",Toronto,ON,4.5,5,Pizza;Restaurants
Xq9SvfRq_PBr8ma6vwh_Mw,"""Pizza Pizza""","""1393 Lawrence Avenue W""",Toronto,ON,3.5,3,Chicken Wings;Restaurants;Pizza;Italian
wrbF8GuuXY5hNj8AeiOulg,"""Culinary Adventure""","""""",Toronto,ON,5.0,11,Wine Tours;Walking Tours;Hotels & Travel;Food Tours;Tours
_3IE9guLHvAr-kJpH4Zd7Q,"""Urbun Eats Co""","""874 Eglinton Avenue E""",Toronto,ON,3.5,3,Fish & Chips;Restaurants;Poutineries;Burgers
z-5YXiSmZchuoANnqfp1vg,"""Pi-Tom's Thai Cuisine""","""235 Jarvis Street""",Toronto,ON,3.5,13,Thai;Restaurants
4-YKQyhDR2bZ26AYgZ7aFg,"""Royal Boonsik""","""647 Bloor Street W""",Toronto,ON,4.0,30,Food;Restaurants;Korean;Grocery
IfUkm42SB9D0m_ZbkQ711A,"""The Fish Store & Sandwiches""","""657 College Street""",Toronto,ON,4.0,138,Restaurants;Seafood;Sandwiches
fdNolUeNOg7Y9lOYj9wc7g,"""Fix Coffee + Bikes""","""80 Gladstone Avenue""",Toronto,ON,4.5,6,Local Services;Bike Repair/Maintenance;Shopping;Food;Sporting Goods;Coffee & Tea;Bikes
CyKi4WgsRNpp3jgsxBEcDg,"""North Shore Pie""","""874 Eglinton Avenue E""",Toronto,ON,4.0,34,Food;Bakeries;Restaurants;Cafes
sKIAHIGW0viQGFAMGgQ3Rg,"""Sushi Mugen""","""1105 Queen Street E""",Toronto,ON,4.5,6,Sushi Bars;Japanese;Restaurants
nsoSw8B3teY2FGAEPfiVfA,"""Choi's Kitchen""","""3369 Bloor Street W""",Toronto,ON,4.0,6,Restaurants;Chicken Wings;Chicken Shop
qLCrPakPU9uArigtDu-KiQ,"""Uncle Mikey's""","""1597 Dundas Street W""",Toronto,ON,5.0,11,Korean;Canadian (New);Restaurants;Tapas Bars
Hrj-mkyOkyyjvGeruqDCyg,"""Hula Girl Espresso""","""456 Ossington Avenue""",Toronto,ON,4.0,4,Coffee & Tea;Food
ziEGXxNH55x7CMi0eAouKg,"""Little Tibet Restaurant""","""712 Queen St W""",Toronto,ON,4.0,3,Himalayan/Nepalese;Restaurants
t2GtB-aiOzrNnuGxZV190g,"""Diamond Pizza""","""510 Main Street""",Toronto,ON,2.0,13,Pizza;Restaurants
wFnMOhf51su_yIcHWdCeLw,"""Mama's Authentic Caribbean Restaurant""","""349 Marlee Avenue""",Toronto,ON,5.0,7,Restaurants;Caribbean
pjQVoTe8BHboKn37uVLNjw,"""T Cafe""","""511 Bloor St W""",Toronto,ON,3.5,13,Food;Coffee & Tea
5vgieFiCubi43G6ciiFhNQ,"""CC Lounge & Whisky Bar""","""45 Front Street E""",Toronto,ON,4.5,53,Restaurants;Whiskey Bars;Nightlife;Bars;American (Traditional);Cocktail Bars;Dance Clubs;Lounges
x1IPOlH_O5D3qZdZo6YyEA,"""Florentia""","""579 Mount Pleasant Road""",Toronto,ON,3.5,17,Restaurants;Italian
tjKpw0PIymLyd5dWTYh2aQ,"""Bagel World""","""336 Wilson Avenue""",Toronto,ON,3.5,27,Bagels;Food
1W_gZM_uuEvJqapbIl6z9Q,"""El Charro""","""582 Parliament Street""",Toronto,ON,4.5,31,Restaurants;Food Stands;Street Vendors;Food;Mexican
xfbjRpE3yhRQ9Zw-D_mBgQ,"""Nunu Ethiopian Fusion""","""1178 Queen Street W""",Toronto,ON,4.0,70,Restaurants;Ethiopian
7Zt5xgAmPjpc5yfyC9mHYQ,"""Brickyard Grounds""","""1289 Gerrard Street E""",Toronto,ON,4.0,15,Food;Cafes;Coffee & Tea;Restaurants;Breakfast & Brunch
VQBOBXLk8f5dxtP1-_yPUw,"""Teara Lab""","""181 College Street""",Toronto,ON,3.5,35,Japanese;Restaurants;Sandwiches;Burgers
YgwqL9w6jbz5cCJqVzFBRw,"""Rod, Gun & Barbers""","""2877 Dundas Street W""",Toronto,ON,3.5,10,Beauty & Spas;Nightlife;Bars;Barbers
